Datetime,Open,High,Low,Close,Volume
2020-03-12 10:24:00-04:00,144.94,146.75,144.77,146.1,595083
2020-03-12 10:26:00-04:00,146.12,147.21,145.65,145.65,425942
2020-03-12 10:28:00-04:00,145.66,145.95,145.1,145.36,371159
2020-03-12 10:30:00-04:00,145.42,146.23,144.8,145.87,503538
2020-03-12 10:32:00-04:00,145.88,146.05,144.68,144.96,519825
2020-03-12 10:34:00-04:00,144.97,146.05,144.93,145.23,427398
2020-03-12 10:36:00-04:00,145.27,145.97,144.95,145.55,343609
2020-03-12 10:38:00-04:00,145.54,145.79,144.93,145.02,326070
2020-03-12 10:40:00-04:00,144.99,145.7,144.72,144.74,375505
2020-03-12 10:42:00-04:00,144.77,145.25,144.57,145.08,341518
2020-03-12 10:44:00-04:00,145.05,145.75,144.98,145.34,364917
2020-03-12 10:46:00-04:00,145.34,145.8,145.12,145.61,383259
2020-03-12 10:48:00-04:00,145.59,146.18,145.46,145.73,358936
2020-03-12 10:50:00-04:00,145.84,146.29,145.55,146.2,279745
2020-03-12 10:52:00-04:00,146.2,146.97,146.18,146.71,322539
2020-03-12 10:54:00-04:00,146.72,147.51,146.66,146.73,436726
2020-03-12 10:56:00-04:00,146.72,147.15,146.55,146.84,297105
2020-03-12 10:58:00-04:00,146.84,146.86,146.38,146.52,345847
2020-03-12 11:00:00-04:00,146.55,146.6,145.6,145.76,429141
2020-03-12 11:02:00-04:00,145.74,146.26,145.36,146.14,369355
2020-03-12 11:04:00-04:00,146.15,146.35,145.89,145.89,202723
2020-03-12 11:06:00-04:00,145.92,146.2,145.56,145.56,276463
2020-03-12 11:08:00-04:00,145.61,145.74,145.02,145.05,287205
2020-03-12 11:10:00-04:00,145.03,145.08,144.21,144.22,362928
2020-03-12 11:12:00-04:00,144.21,144.63,143.78,144.03,399494
2020-03-12 11:14:00-04:00,144.02,144.87,143.69,144.61,310378
2020-03-12 11:16:00-04:00,144.63,144.76,144.13,144.53,255446
2020-03-12 11:18:00-04:00,144.59,144.71,143.34,143.99,448990
2020-03-12 11:20:00-04:00,143.51,143.96,143.35,143.96,275035
2020-03-12 11:22:00-04:00,143.33,143.58,143.33,143.58,403079
2020-03-12 11:24:00-04:00,143.83,144.21,143.44,143.92,249519
2020-03-12 11:26:00-04:00,143.96,144.05,143.3,143.83,293918
2020-03-12 11:28:00-04:00,143.85,143.88,143.18,143.24,246938
2020-03-12 11:30:00-04:00,143.23,143.62,142.92,143.39,355357
2020-03-12 11:32:00-04:00,143.43,143.75,142.88,142.88,313726
2020-03-12 11:34:00-04:00,142.92,143.35,142.06,142.77,474666
2020-03-12 11:36:00-04:00,142.79,142.83,141.89,142.17,486315
2020-03-12 11:38:00-04:00,142.2,142.36,141.91,142.22,247021
2020-03-12 11:40:00-04:00,142.19,142.59,142.0,142.57,228520
2020-03-12 11:42:00-04:00,142.55,142.85,142.23,142.59,271879
2020-03-12 11:44:00-04:00,142.6,142.87,142.54,142.6,247863
2020-03-12 11:46:00-04:00,142.6,142.82,142.31,142.66,211086
2020-03-12 11:48:00-04:00,142.74,143.1,142.45,142.57,331673
2020-03-12 11:50:00-04:00,142.56,142.58,141.75,141.77,320014
2020-03-12 11:52:00-04:00,141.77,142.5,141.74,142.45,321457
2020-03-12 11:54:00-04:00,142.46,143.08,142.27,143.08,301195
